"EpisodeNumber","ItemNumber","Question"
600,1,"In 1835, James Bowman Lindsay demonstrated the first incandescent light bulb, 43 years before Thomas Edison began work on his bulb. "
"EpisodeNumber","ItemNumber","Question"
600,2,"Both the Franklin Stove and bifocals were not original to Benjamin Franklin, but French inventions he popularized in America. "
"EpisodeNumber","ItemNumber","Question"
600,3,"Ernest Duchesne presented for his PhD thesis in 1897 his research finding that Penicillium molds produced a substance which killed bacteria and could be used to treat bacterial infections, 31 years prior to Alexander Fleming’s discovery."
"EpisodeNumber","ItemNumber","Question"
601,1,"A new study finds that exercising only on the weekends, compared to being inactive, has no measurable benefit in terms of heart health and mortality. "
"EpisodeNumber","ItemNumber","Question"
601,2,"Scientists have genetically engineered a Salmonella bacterial species to seek out and destroy glioblastoma tumor cells and have successfully tested the treatment in rats. "
"EpisodeNumber","ItemNumber","Question"
601,3,"The Hubble Space Telescope has discovered a probable new exoplanet using a unique method – by imaging a shadow cast upon a ring of dust surrounding the parent star."
"EpisodeNumber","ItemNumber","Question"
602,1,"Carl Sagan was the first scientist to publicly warn about the possibility of manmade global warming from greenhouse gas emissions, in a 1980 essay. "
"EpisodeNumber","ItemNumber","Question"
602,2,"The 15 hottest years on record since 1880 have all been since 1998. "
"EpisodeNumber","ItemNumber","Question"
602,3,"Climate models show that even if CO2 emissions were stopped entirely, global temperatures would continue to rise for at least a century."
"EpisodeNumber","ItemNumber","Question"
603,1,"The Great Auk was a large flightless sea bird resembling a penguin but living in the North Atlantic. It was driven to extinction by over-hunting in 1844. "
"EpisodeNumber","ItemNumber","Question"
603,2,"The Swift Fox was driven to extinction in the 1930s as part of a deliberate program of predator control in the United States. "
"EpisodeNumber","ItemNumber","Question"
603,3,"The Golden Toad was a common species in Costa Rica, but its population steadily declined with the last sighting in 1989. This was the first species extinction blamed on global warming, but later evidence has cast doubt on that conclusion. "
"EpisodeNumber","ItemNumber","Question"
603,4,"The Zanzibar Leopard once inhabited the Zanzibar archipelago in Tanzania, but was deliberated hunted to extinction because they were thought to be the servants of witches."
"EpisodeNumber","ItemNumber","Question"
604,1,"Manatees are highly territorial and protective of their food source, and are known to attack and kill competitors by laying on top of them in shallow water until they drown. "
"EpisodeNumber","ItemNumber","Question"
604,2,"The Crypt Keeper wasp lays it eggs in the nest of the gall wasp, where hatchlings infest their brains compelling them to dig out of the nest but in a hole that is too small so they get stuck, then the Crypt Keeper eats them from the inside until they finally burst forth through their head. "
"EpisodeNumber","ItemNumber","Question"
604,3,"Sea otters have been observed raping baby harbor seals to death, and sometimes keeping and continuing to copulate with the corpse for up to a week."
"EpisodeNumber","ItemNumber","Question"
605,1,"Scientists report the first discovery of a white dwarf pulsar, the only one known, just 380 light years from Earth. "
"EpisodeNumber","ItemNumber","Question"
605,2,"Hebrew University archaeologists report that they have uncovered a 12th Dead Sea scroll cave with intact jars containing previously undiscovered scrolls. "
"EpisodeNumber","ItemNumber","Question"
605,3,"A new study finds that, with a little provocation, two-thirds of subjects engaged in trolling behavior in online comments."
